href,text
https://www.olympedia.org/editions/61/sports/TRI,Triathlon
https://www.olympedia.org/results/18000690,"Olympic Distance, Men"
https://www.olympedia.org/results/18000699,"Olympic Distance, Women"
https://www.olympedia.org/results/18000708,"Relay, Mixed"
https://www.olympedia.org/editions/61/sports/VVO,Volleyball
https://www.olympedia.org/results/19001150,"Volleyball, Men"
https://www.olympedia.org/results/19001195,"Volleyball, Women"
https://www.olympedia.org/editions/61/sports/WPO,Water Polo
https://www.olympedia.org/results/19001580,"Water Polo, Men"
https://www.olympedia.org/results/19001631,"Water Polo, Women"
https://www.olympedia.org/editions/61/sports/WLF,Weightlifting
https://www.olympedia.org/results/19002020,"Featherweight (≤61 kilograms), Men"
https://www.olympedia.org/results/19002029,"Lightweight (≤67 kilograms), Men"
https://www.olympedia.org/results/19002038,"Middleweight (≤73 kilograms), Men"
https://www.olympedia.org/results/19002047,"Light-Heavyweight (≤81 kilograms), Men"
https://www.olympedia.org/results/19002056,"Middle-Heavyweight (≤96 kilograms), Men"
https://www.olympedia.org/results/19002065,"Heavyweight (≤109 kilograms), Men"
https://www.olympedia.org/results/19002074,"Super-Heavyweight (>109 kilograms), Men"
https://www.olympedia.org/results/19002083,"Flyweight (≤49 kilograms), Women"
https://www.olympedia.org/results/19002092,"Featherweight (≤55 kilograms), Women"
https://www.olympedia.org/results/19002101,"Lightweight (≤59 kilograms), Women"
https://www.olympedia.org/results/19002110,"Middleweight (≤64 kilograms), Women"
https://www.olympedia.org/results/19002119,"Light-Heavyweight (≤76 kilograms), Women"
https://www.olympedia.org/results/19002128,"Heavyweight (≤87 kilograms), Women"
https://www.olympedia.org/results/19002137,"Super-Heavyweight (>87 kilograms), Women"
https://www.olympedia.org/editions/61/sports/WRE,Wrestling
https://www.olympedia.org/results/19009300,"Featherweight, Greco-Roman (≤60 kilograms), Men"
https://www.olympedia.org/results/19009329,"Welterweight, Greco-Roman (≤67 kilograms), Men"
https://www.olympedia.org/results/19009358,"Middleweight, Greco-Roman (≤77 kilograms), Men"
https://www.olympedia.org/results/19009387,"Light-Heavyweight, Greco-Roman (≤87 kilograms), Men"
https://www.olympedia.org/results/19009416,"Heavyweight, Greco-Roman (≤97 kilograms), Men"
https://www.olympedia.org/results/19009445,"Super-Heavyweight, Greco-Roman (≤130 kilograms), Men"
https://www.olympedia.org/results/19009474,"Featherweight, Freestyle (≤57 kilograms), Men"
https://www.olympedia.org/results/19009503,"Welterweight, Freestyle (≤65 kilograms), Men"
https://www.olympedia.org/results/19009532,"Middleweight, Freestyle (≤74 kilograms), Men"
https://www.olympedia.org/results/19009561,"Light-Heavyweight, Freestyle (≤86 kilograms), Men"
https://www.olympedia.org/results/19009590,"Heavyweight, Freestyle (≤97 kilograms), Men"
https://www.olympedia.org/results/19009619,"Super-Heavyweight, Freestyle (≤125 kilograms), Men"
https://www.olympedia.org/results/19009648,"Flyweight, Freestyle (≤50 kilograms), Women"
https://www.olympedia.org/results/19009677,"Featherweight, Freestyle (≤53 kilograms), Women"
https://www.olympedia.org/results/19009706,"Lightweight, Freestyle (≤57 kilograms), Women"
https://www.olympedia.org/results/19009735,"Middleweight, Freestyle (≤62 kilograms), Women"
https://www.olympedia.org/results/19009764,"Light-Heavyweight, Freestyle (≤68 kilograms), Women"
https://www.olympedia.org/results/19009793,"Heavyweight, Freestyle (≤76 kilograms), Women"
