Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Seppo Henrik Rty,Finland,FIN,Summer,1992,Barcelona,Athletics,Athletics Men'S Javelin Throw,Silver
Seppo Henrik Rty,Finland,FIN,Summer,1996,Atlanta,Athletics,Athletics Men'S Javelin Throw,Bronze
"Maximilian ""Max"" Raub",Austria,AUT,Summer,1952,Helsinki,Canoeing,"Canoeing Men'S Kayak Doubles, 1,000 Metres",Bronze
"Maximilian ""Max"" Raub",Austria,AUT,Summer,1956,Melbourne,Canoeing,"Canoeing Men'S Kayak Doubles, 1,000 Metres",Bronze
"James Richert ""Jamie"" Rauch",United States,USA,Summer,2000,Sydney,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Silver
Jon Erich Rauch,United States,USA,Summer,2000,Sydney,Baseball,Baseball Men'S Baseball,Gold
Hubert Raudaschl,Austria,AUT,Summer,1968,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Silver
Hubert Raudaschl,Austria,AUT,Summer,1980,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Silver
Jukka Matti Rauhala,Finland,FIN,Summer,1984,Los Angeles,Wrestling,"Wrestling Men'S Lightweight, Freestyle",Bronze
Kalervo Juhani Rauhala,Finland,FIN,Summer,1952,Helsinki,Wrestling,"Wrestling Men'S Middleweight, Greco-Roman",Silver
Ronald Rauhe,Germany,GER,Summer,2000,Sydney,Canoeing,"Canoeing Men'S Kayak Doubles, 500 Metres",Bronze
Ronald Rauhe,Germany,GER,Summer,2004,Athina,Canoeing,"Canoeing Men'S Kayak Doubles, 500 Metres",Gold
Ronald Rauhe,Germany,GER,Summer,2008,Beijing,Canoeing,"Canoeing Men'S Kayak Doubles, 500 Metres",Silver
Ronald Rauhe,Germany,GER,Summer,2016,Rio De Janeiro,Canoeing,"Canoeing Men'S Kayak Singles, 200 Metres",Bronze
Dirk Rauin,West Germany,FRG,Summer,1984,Los Angeles,Handball,Handball Men'S Handball,Silver
Emil A. Rausch,Germany,GER,Summer,1904,St. Louis,Swimming,Swimming Men'S 220 Yard Freestyle,Bronze
Emil A. Rausch,Germany,GER,Summer,1904,St. Louis,Swimming,Swimming Men'S 880 Yard Freestyle,Gold
Emil A. Rausch,Germany,GER,Summer,1904,St. Louis,Swimming,Swimming Men'S One Mile Freestyle,Gold
Emil A. Rausch,Germany,GER,Summer,1906,Athina,Swimming,Swimming Men'S 4 X 250 Metres Freestyle Relay,Silver
Kaj Tapio Rautavaara,Finland,FIN,Summer,1948,London,Athletics,Athletics Men'S Javelin Throw,Gold
Pietro Rava,Italy,ITA,Summer,1936,Berlin,Football,Football Men'S Football,Gold
Mario Ravagnan,Italy,ITA,Summer,1960,Roma,Fencing,"Fencing Men'S Sabre, Team",Bronze
Mario Ravagnan,Italy,ITA,Summer,1964,Tokyo,Fencing,"Fencing Men'S Sabre, Team",Silver
"John Joseph ""Joe"" Ravannack",Independent Rowing Club,USA,Summer,1904,St. Louis,Rowing,Rowing Men'S Double Sculls,Bronze
Giuseppe Ravano,Italy,ITA,Summer,1964,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Ravdangiin Davaadalai,Mongolia,MGL,Summer,1980,Moskva,Judo,Judo Men'S Lightweight,Bronze
Jrgen Christian Jensen Ravn,Denmark,DEN,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men'S Team All-Around, Swedish System",Silver
Vatemo Ravouvou,Fiji,FIJ,Summer,2016,Rio De Janeiro,Rugby Sevens,Rugby Sevens Men'S Rugby Sevens,Gold
Savenaca Rawaca,Fiji,FIJ,Summer,2016,Rio De Janeiro,Rugby Sevens,Rugby Sevens Men'S Rugby Sevens,Gold
"Alfred ""Toby"" Rawlinson",Foxhunters Hurlingham,GBR,Summer,1900,Paris,Polo,Polo Men'S Polo,Gold
"Katherine Louise Rawls (-Thompson, -Green)",United States,USA,Summer,1932,Los Angeles,Diving,Diving Women'S Springboard,Silver
"Katherine Louise Rawls (-Thompson, -Green)",United States,USA,Summer,1936,Berlin,Diving,Diving Women'S Springboard,Silver
"Katherine Louise Rawls (-Thompson, -Green)",United States,USA,Summer,1936,Berlin,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
"Ronald Rawson ""Ron"" Rawson",Great Britain,GBR,Summer,1920,Antwerpen,Boxing,Boxing Men'S Heavyweight,Gold
Mary Elise Ray,United States,USA,Summer,2000,Sydney,Gymnastics,Gymnastics Women'S Team All-Around,Bronze
Joie William Ray,United States,USA,Summer,1924,Paris,Athletics,"Athletics Men'S 3,000 Metres, Team",Bronze
Valentin Raychev,Bulgaria,BUL,Summer,1980,Moskva,Wrestling,"Wrestling Men'S Welterweight, Freestyle",Gold
Georgi Petkov Raykov,Bulgaria,BUL,Summer,1980,Moskva,Wrestling,"Wrestling Men'S Heavyweight, Greco-Roman",Gold
"Petrus Josephus ""Piet"" Raymakers",Netherlands,NED,Summer,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
"Petrus Josephus ""Piet"" Raymakers",Netherlands,NED,Summer,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Lisa Raymond,United States,USA,Summer,2012,London,Tennis,Tennis Mixed Doubles,Bronze
Louis Bosman Raymond,South Africa,RSA,Summer,1920,Antwerpen,Tennis,Tennis Men'S Singles,Gold
"Peter Harlow ""Pete"" Raymond",United States,USA,Summer,1972,Munich,Rowing,Rowing Men'S Coxed Eights,Silver
Alexis Raynaud,France,FRA,Summer,2016,Rio De Janeiro,Shooting,"Shooting Men'S Small-Bore Rifle, Three Positions, 50 Metres",Bronze
Harold Marvin Rayner,United States,USA,Summer,1920,Antwerpen,Fencing,"Fencing Men'S Foil, Team",Bronze
Boris Davidovich Razinsky,Soviet Union,URS,Summer,1956,Melbourne,Football,Football Men'S Football,Gold
Dragoslav Ranatovi,Yugoslavia,YUG,Summer,1968,Mexico City,Basketball,Basketball Men'S Basketball,Silver
Ihor Anatoliyovych Razoronov,Ukraine,UKR,Summer,2004,Athina,Weightlifting,Weightlifting Men'S Heavyweight,Silver
Nataliya Nikolayevna Razumova (-Starshova),Soviet Union,URS,Summer,1980,Moskva,Volleyball,Volleyball Women'S Volleyball,Gold
Dino Raa,Yugoslavia,YUG,Summer,1988,Seoul,Basketball,Basketball Men'S Basketball,Silver
Dino Raa,Croatia,CRO,Summer,1992,Barcelona,Basketball,Basketball Men'S Basketball,Silver
Nikola Raen,Serbia,SRB,Summer,2008,Beijing,Water Polo,Water Polo Men'S Water Polo,Bronze
Nikola Raen,Serbia,SRB,Summer,2012,London,Water Polo,Water Polo Men'S Water Polo,Bronze
Goran Raenovi,Yugoslavia,YUG,Summer,1988,Seoul,Water Polo,Water Polo Men'S Water Polo,Gold
Zdravko Raenovi,Yugoslavia,YUG,Summer,1984,Los Angeles,Handball,Handball Men'S Handball,Gold
Cari Read,Canada,CAN,Summer,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women'S Team,Silver
Jason Read,United States,USA,Summer,2004,Athina,Rowing,Rowing Men'S Coxed Eights,Gold
Norman Richard Read,New Zealand,NZL,Summer,1956,Melbourne,Athletics,Athletics Men'S 50 Kilometres Walk,Gold
Piero Rebaudengo,Italy,ITA,Summer,1984,Los Angeles,Volleyball,Volleyball Men'S Volleyball,Bronze
Carla Rebecchi,Argentina,ARG,Summer,2008,Beijing,Hockey,Hockey Women'S Hockey,Bronze
Carla Rebecchi,Argentina,ARG,Summer,2012,London,Hockey,Hockey Women'S Hockey,Silver
Antoine Rebetez,Switzerland,SUI,Summer,1924,Paris,Gymnastics,Gymnastics Men'S Team All-Around,Bronze
Antoine Rebetez,Switzerland,SUI,Summer,1924,Paris,Gymnastics,Gymnastics Men'S Pommelled Horse,Bronze
Daniel Denis Tienne Rbillard,France,FRA,Summer,1968,Mexico City,Cycling,"Cycling Men'S Individual Pursuit, 4,000 Metres",Gold
"Eljko ""Zelly"" Rebraa",Serbia And Montenegro,SCG,Summer,1996,Atlanta,Basketball,Basketball Men'S Basketball,Silver
Lucien Rebuffic,France,FRA,Summer,1948,London,Basketball,Basketball Men'S Basketball,Silver
Esko Tapani Rechardt,Finland,FIN,Summer,1980,Moskva,Sailing,Sailing Mixed One Person Dinghy,Gold
Elise Maree Rechichi,Australia,AUS,Summer,2008,Beijing,Sailing,Sailing Women'S Two Person Dinghy,Gold
Thomas Werner Reck,West Germany,FRG,Summer,1984,Los Angeles,Hockey,Hockey Men'S Hockey,Silver
Thomas Werner Reck,West Germany,FRG,Summer,1988,Seoul,Hockey,Hockey Men'S Hockey,Silver
Jonas Reckermann,Germany,GER,Summer,2012,London,Beach Volleyball,Beach Volleyball Men'S Beach Volleyball,Gold
Rob Reckers,Netherlands,NED,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Silver
Ernst Heinrich Dietrich Reckeweg,"Philadelphia Turngemeinde, Philadelphia",USA,Summer,1904,St. Louis,Gymnastics,Gymnastics Men'S Team All-Around,Gold
"John Alcorn ""James"" Rector",United States,USA,Summer,1908,London,Athletics,Athletics Men'S 100 Metres,Silver
Lszl Rczi,Hungary,HUN,Summer,1976,Montreal,Wrestling,"Wrestling Men'S Featherweight, Greco-Roman",Bronze
Red Jacket,Mohawk Indians,CAN,Summer,1904,St. Louis,Lacrosse,Lacrosse Men'S Lacrosse,Bronze
Charles Lambert Redd,United States,USA,Summer,1932,Los Angeles,Athletics,Athletics Men'S Long Jump,Silver
Michael Wesley Redd,United States,USA,Summer,2008,Beijing,Basketball,Basketball Men'S Basketball,Gold
"Catherine Anne ""Cat"" Reddick (-Whitehill)",United States,USA,Summer,2004,Athina,Football,Football Women'S Football,Gold
Heike Redetzky-Henkel (-Meier),Germany,GER,Summer,1992,Barcelona,Athletics,Athletics Women'S High Jump,Gold
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,1984,Los Angeles,Rowing,Rowing Men'S Coxed Fours,Gold
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,1988,Seoul,Rowing,Rowing Men'S Coxless Pairs,Gold
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Pairs,Bronze
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,1992,Barcelona,Rowing,Rowing Men'S Coxless Pairs,Gold
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,1996,Atlanta,Rowing,Rowing Men'S Coxless Pairs,Gold
"Stephen Geoffrey ""Steven"" Redgrave",Great Britain,GBR,Summer,2000,Sydney,Rowing,Rowing Men'S Coxless Fours,Gold
Serge Yvan Arthur Reding (Grard-),Belgium,BEL,Summer,1968,Mexico City,Weightlifting,Weightlifting Men'S Heavyweight,Silver
Andrs Rdli,Hungary,HUN,Summer,2016,Rio De Janeiro,Fencing,"Fencing Men'S Epee, Team",Bronze
Bernard Boverton Redwood,Gyrinus,GBR,Summer,1908,London,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Gold
Bernard Boverton Redwood,Gyrinus,GBR,Summer,1908,London,Motorboating,Motorboating Mixed C-Class,Gold
Redep Redepovski,Yugoslavia,YUG,Summer,1984,Los Angeles,Boxing,Boxing Men'S Flyweight,Silver
Jennie Idell Reed (-Madden),United States,USA,Summer,2012,London,Cycling,Cycling Women'S Team Pursuit,Silver
"Peter ""Pete"" Reed",Great Britain,GBR,Summer,2008,Beijing,Rowing,Rowing Men'S Coxless Fours,Gold
"Peter ""Pete"" Reed",Great Britain,GBR,Summer,2012,London,Rowing,Rowing Men'S Coxless Fours,Gold
"Peter ""Pete"" Reed",Great Britain,GBR,Summer,2016,Rio De Janeiro,Rowing,Rowing Men'S Coxed Eights,Gold
Robin Lawrence Reed,United States,USA,Summer,1924,Paris,Wrestling,"Wrestling Men'S Featherweight, Freestyle",Gold
"Judith Anne ""Judy"" Reeder",United States,USA,Summer,1964,Tokyo,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Gold
Paul Edward Reedy,Australia,AUS,Summer,1984,Los Angeles,Rowing,Rowing Men'S Quadruple Sculls,Silver
"Gerard Simon ""Jops"" Reeman",Netherlands,NED,Summer,1908,London,Football,Football Men'S Football,Bronze
Percy Montague Rees,England,GBR,Summer,1908,London,Hockey,Hockey Men'S Hockey,Gold
Brittney Davon Reese,United States,USA,Summer,2012,London,Athletics,Athletics Women'S Long Jump,Gold
Brittney Davon Reese,United States,USA,Summer,2016,Rio De Janeiro,Athletics,Athletics Women'S Long Jump,Silver
Shayne Leanne Reese,Australia,AUS,Summer,2008,Beijing,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
Shayne Leanne Reese,Australia,AUS,Summer,2008,Beijing,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Gold
Morgan Irwin Reeser,United States,USA,Summer,1992,Barcelona,Sailing,Sailing Men'S Two Person Dinghy,Silver
Helen Reeves,Great Britain,GBR,Summer,2004,Athina,Canoeing,"Canoeing Women'S Kayak Singles, Slalom",Bronze
Emily Regan,United States,USA,Summer,2016,Rio De Janeiro,Rowing,Rowing Women'S Coxed Eights,Gold
Andr Regaud,France,FRA,Summer,1908,London,Shooting,"Shooting Men'S Small-Bore Rifle, 50 And 100 Yards, Team",Bronze
Giovanni Leone Reggio,Italia,ITA,Summer,1936,Berlin,Sailing,Sailing Mixed 8 Metres,Gold
John Paul Lyndon Regis,Great Britain,GBR,Summer,1988,Seoul,Athletics,Athletics Men'S 4 X 100 Metres Relay,Silver
John Paul Lyndon Regis,Great Britain,GBR,Summer,1992,Barcelona,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
Lisa Teresia Regnell (-Lindh),Sweden,SWE,Summer,1912,Stockholm,Diving,Diving Women'S Plain High,Silver
Enrique Regeiferos Blanco,Cuba,CUB,Summer,1968,Mexico City,Boxing,Boxing Men'S Light-Welterweight,Silver
Berndt-Otto Viktor Olof R. Rehbinder,Sweden,SWE,Summer,1952,Helsinki,Fencing,"Fencing Men'S Epee, Team",Silver
Fazalur Rehman,Pakistan,PAK,Summer,1972,Munich,Hockey,Hockey Men'S Hockey,Silver
Habibur Rehman,Pakistan,PAK,Summer,1956,Melbourne,Hockey,Hockey Men'S Hockey,Silver
Latif-Ur Rehman,India,IND,Summer,1948,London,Hockey,Hockey Men'S Hockey,Gold
Latif-Ur Rehman,Pakistan,PAK,Summer,1956,Melbourne,Hockey,Hockey Men'S Hockey,Silver
Jan Ehula,Czech Republic,CZE,Summer,2000,Sydney,Triathlon,Triathlon Men'S Olympic Distance,Bronze
Josip Rei,Yugoslavia,YUG,Summer,1980,Moskva,Rowing,Rowing Men'S Coxed Pairs,Bronze
Jean Reich,Switzerland,SUI,Summer,1906,Athina,Shooting,"Shooting Men'S Free Rifle, Three Positions, 300 Metres, Team",Gold
Jean Reich,Switzerland,SUI,Summer,1906,Athina,Shooting,"Shooting Men'S Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 Metres",Bronze
Jean Reich,Switzerland,SUI,Summer,1906,Athina,Shooting,"Shooting Men'S Military Rifle, Kneeling Or Standing, 300 Metres",Silver
Rdiger Reiche,East Germany,GDR,Summer,1976,Montreal,Rowing,Rowing Men'S Quadruple Sculls,Gold
"Franois Tienne ""Frantz"" Reichel",Union Des Socits Franais De Sports Athletiques,FRA,Summer,1900,Paris,Rugby,Rugby Men'S Rugby,Gold
Rudolf Reichelt,Berliner Ruderverein Von 1876,GER,Summer,1912,Stockholm,Rowing,Rowing Men'S Coxed Eights,Bronze
Klaus Reichert,West Germany,FRG,Summer,1976,Montreal,Fencing,"Fencing Men'S Foil, Team",Gold
Klaus Reichert,West Germany,FRG,Summer,1984,Los Angeles,Fencing,"Fencing Men'S Foil, Team",Silver
Rudolf Reichling,Switzerland,SUI,Summer,1948,London,Rowing,Rowing Men'S Coxed Fours,Silver
Tobias Reichmann,Germany,GER,Summer,2016,Rio De Janeiro,Handball,Handball Men'S Handball,Bronze
Alena Reichov (-Zmostn),Czechoslovakia,TCH,Summer,1952,Helsinki,Gymnastics,Gymnastics Women'S Team All-Around,Bronze
David Terrell Reid,United States,USA,Summer,1996,Atlanta,Boxing,Boxing Men'S Light-Middleweight,Gold
Graeme Reid,Australia,AUS,Summer,1976,Montreal,Hockey,Hockey Men'S Hockey,Silver
Graham Leslie Reid,Australia,AUS,Summer,1992,Barcelona,Hockey,Hockey Men'S Hockey,Silver
"Herman ""J. R."" Reid, Jr.",United States,USA,Summer,1988,Seoul,Basketball,Basketball Men'S Basketball,Bronze
James Reid,Great Britain,GBR,Summer,1912,Stockholm,Shooting,"Shooting Men'S Military Rifle, 200, 400, 500 And 600 Metres, Team",Silver
John Sidney Reid,Comanche,USA,Summer,1952,Helsinki,Sailing,Sailing Mixed Two Person Keelboat,Silver
Robin David Reid,Great Britain,GBR,Summer,1992,Barcelona,Boxing,Boxing Men'S Light-Middleweight,Bronze
Charles Decker Reidpath,United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men'S 400 Metres,Gold
Charles Decker Reidpath,United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men'S 4 X 400 Metres Relay,Gold
Gaston Tienne Ghislaine Reiff,Belgium,BEL,Summer,1948,London,Athletics,"Athletics Men'S 5,000 Metres",Gold
"George Patten ""Pat"" Reiffenstein (-Carr)",Toronto Argonauts,CAN,Summer,1904,St. Louis,Rowing,Rowing Men'S Coxed Eights,Silver
Hendrik Reiher,East Germany,GDR,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Fours,Gold
Hendrik Reiher,Germany,GER,Summer,1992,Barcelona,Rowing,Rowing Men'S Coxed Fours,Silver
"Dirkje Johanna ""Desi"" Reijers",Netherlands,NED,Summer,1984,Los Angeles,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
Hans-Georg Reimann,East Germany,GDR,Summer,1972,Munich,Athletics,Athletics Men'S 20 Kilometres Walk,Bronze
Hans-Georg Reimann,East Germany,GDR,Summer,1976,Montreal,Athletics,Athletics Men'S 20 Kilometres Walk,Silver
Daniela Reimer,Germany,GER,Summer,2004,Athina,Rowing,Rowing Women'S Lightweight Double Sculls,Silver
Egill Reimers,Heira Ii,NOR,Summer,1920,Antwerpen,Sailing,Sailing Mixed 12 Metres,Gold
Andrew Roland Rein,United States,USA,Summer,1984,Los Angeles,Wrestling,"Wrestling Men'S Lightweight, Freestyle",Silver
"Heidemarie ""Heidi"" Reineck",West Germany,FRG,Summer,1968,Mexico City,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Bronze
"Heidemarie ""Heidi"" Reineck",West Germany,FRG,Summer,1972,Munich,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
"Heidemarie ""Heidi"" Reineck",West Germany,FRG,Summer,1972,Munich,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Bronze
Thomas Reineck,Germany,GER,Summer,1992,Barcelona,Canoeing,"Canoeing Men'S Kayak Fours, 1,000 Metres",Gold
Thomas Reineck,Germany,GER,Summer,1996,Atlanta,Canoeing,"Canoeing Men'S Kayak Fours, 1,000 Metres",Gold
Maximilian Reinelt,Germany,GER,Summer,2012,London,Rowing,Rowing Men'S Coxed Eights,Gold
Maximilian Reinelt,Germany,GER,Summer,2016,Rio De Janeiro,Rowing,Rowing Men'S Coxed Eights,Silver
Sascha Reinelt,Germany,GER,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Bronze
Edgar Reinhardt,Germany,GER,Summer,1936,Berlin,Handball,Handball Men'S Handball,Gold
Nicole Reinhardt,Germany,GER,Summer,2008,Beijing,Canoeing,"Canoeing Women'S Kayak Fours, 500 Metres",Gold
Sybille Reinhardt (Tietze-),East Germany,GDR,Summer,1980,Moskva,Rowing,Rowing Women'S Coxed Quadruple Sculls,Gold
Wolfgang Reinhardt,Germany,GER,Summer,1964,Tokyo,Athletics,Athletics Men'S Pole Vault,Silver
Aarne Eemeli Reini,Finland,FIN,Summer,1936,Berlin,Wrestling,"Wrestling Men'S Featherweight, Greco-Roman",Silver
"Rica Reinisch (-Assmann, -Neumann)",East Germany,GDR,Summer,1980,Moskva,Swimming,Swimming Women'S 100 Metres Backstroke,Gold
"Rica Reinisch (-Assmann, -Neumann)",East Germany,GDR,Summer,1980,Moskva,Swimming,Swimming Women'S 200 Metres Backstroke,Gold
"Rica Reinisch (-Assmann, -Neumann)",East Germany,GDR,Summer,1980,Moskva,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Gold
Arthur Reinmann,Switzerland,SUI,Summer,1924,Paris,Weightlifting,Weightlifting Men'S Featherweight,Bronze
Lzaro Reinoso Martnez,Cuba,CUB,Summer,1992,Barcelona,Wrestling,"Wrestling Men'S Featherweight, Freestyle",Bronze
Walter Reisp,Austria,AUT,Summer,1936,Berlin,Handball,Handball Men'S Handball,Silver
"Josef ""Pepi"" Reiter",Austria,AUT,Summer,1984,Los Angeles,Judo,Judo Men'S Half-Lightweight,Bronze
Christian Reitz,Germany,GER,Summer,2008,Beijing,Shooting,"Shooting Men'S Rapid-Fire Pistol, 25 Metres",Bronze
Christian Reitz,Germany,GER,Summer,2016,Rio De Janeiro,Shooting,"Shooting Men'S Rapid-Fire Pistol, 25 Metres",Gold
Christopher Reitz,Germany,GER,Summer,1992,Barcelona,Hockey,Hockey Men'S Hockey,Gold
Heinrich Reitz,Frankfurt Club,GER,Summer,1900,Paris,Rugby,Rugby Men'S Rugby,Silver
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1960,Roma,Fencing,"Fencing Women'S Foil, Team",Silver
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1964,Tokyo,Fencing,"Fencing Women'S Foil, Individual",Gold
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1964,Tokyo,Fencing,"Fencing Women'S Foil, Team",Gold
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1968,Mexico City,Fencing,"Fencing Women'S Foil, Individual",Bronze
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1968,Mexico City,Fencing,"Fencing Women'S Foil, Team",Silver
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1972,Munich,Fencing,"Fencing Women'S Foil, Team",Silver
Ildik Rejt-Ujlaky-Sgi,Hungary,HUN,Summer,1976,Montreal,Fencing,"Fencing Women'S Foil, Team",Bronze
Andrey Mikhaylovich Rekechinsky,Russia,RUS,Summer,2004,Athina,Water Polo,Water Polo Men'S Water Polo,Bronze
Richard Frederick Remer,United States,USA,Summer,1920,Antwerpen,Athletics,"Athletics Men'S 3,000 Metres Walk",Bronze
Keith J. Remfry,Great Britain,GBR,Summer,1976,Montreal,Judo,Judo Men'S Open Class,Silver
Lindy John Remigino,United States,USA,Summer,1952,Helsinki,Athletics,Athletics Men'S 100 Metres,Gold
Lindy John Remigino,United States,USA,Summer,1952,Helsinki,Athletics,Athletics Men'S 4 X 100 Metres Relay,Gold
Ren Cancan,China,CHN,Summer,2012,London,Boxing,Boxing Women'S Flyweight,Silver
Ren Cancan,China,CHN,Summer,2016,Rio De Janeiro,Boxing,Boxing Women'S Flyweight,Bronze
Ren Qian,China,CHN,Summer,2016,Rio De Janeiro,Diving,Diving Women'S Platform,Gold
Ren Ye,China,CHN,Summer,2008,Beijing,Hockey,Hockey Women'S Hockey,Silver
Renan Dal Zotto,Brazil,BRA,Summer,1984,Los Angeles,Volleyball,Volleyball Men'S Volleyball,Silver
Renan Brito Soares,Brazil,BRA,Summer,2008,Beijing,Football,Football Men'S Football,Bronze
Renato Soares De Oliveira Augusto,Brazil,BRA,Summer,2016,Rio De Janeiro,Football,Football Men'S Football,Gold
Ric Renaud,France,FRA,Summer,1984,Los Angeles,Canoeing,"Canoeing Men'S Canadian Doubles, 1,000 Metres",Bronze
Marcel Victor Alcide Renaud,France,FRA,Summer,1956,Melbourne,Canoeing,"Canoeing Men'S Canadian Doubles, 10,000 Metres",Silver
Philippe Renaud,France,FRA,Summer,1988,Seoul,Canoeing,"Canoeing Men'S Canadian Doubles, 500 Metres",Bronze
Sharon Susan Rendle,Great Britain,GBR,Summer,1992,Barcelona,Judo,Judo Women'S Half-Lightweight,Bronze
Elsa Helene Rendschmidt (-Sander-),Germany,GER,Summer,1908,London,Figure Skating,Figure Skating Women'S Singles,Silver
Max Rendschmidt,Germany,GER,Summer,2016,Rio De Janeiro,Canoeing,"Canoeing Men'S Kayak Doubles, 1,000 Metres",Gold
Max Rendschmidt,Germany,GER,Summer,2016,Rio De Janeiro,Canoeing,"Canoeing Men'S Kayak Fours, 1,000 Metres",Gold
Victor Iosifovich Reneischi,Soviet Union,URS,Summer,1988,Seoul,Canoeing,"Canoeing Men'S Canadian Doubles, 500 Metres",Gold
Victor Iosifovich Reneischi,Soviet Union,URS,Summer,1988,Seoul,Canoeing,"Canoeing Men'S Canadian Doubles, 1,000 Metres",Gold
Victor Iosifovich Reneischi,Moldova,MDA,Summer,1996,Atlanta,Canoeing,"Canoeing Men'S Canadian Doubles, 500 Metres",Silver
Jesse Banard Renick,United States,USA,Summer,1948,London,Basketball,Basketball Men'S Basketball,Gold
Alphonse Renier,Univ. Of Brussels,BEL,Summer,1900,Paris,Football,Football Men'S Football,Bronze
Silke Renk (-Lange),Germany,GER,Summer,1992,Barcelona,Athletics,Athletics Women'S Javelin Throw,Gold
"Karlheinz ""Heinz"" Renneberg",Germany,GER,Summer,1960,Roma,Rowing,Rowing Men'S Coxed Pairs,Gold
George Haddow Rennie,Canada,CAN,Summer,1908,London,Lacrosse,Lacrosse Men'S Lacrosse,Gold
Rhoda Lilian Rennie (-Wrighton),South Africa,RSA,Summer,1928,Amsterdam,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Bronze
Katharina Rensch (-Schirmer),East Germany,GDR,Summer,1980,Moskva,Gymnastics,Gymnastics Women'S Team All-Around,Bronze
Ren Rensch,East Germany,GDR,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Pairs,Silver
Jackeline Rentera Castillo,Colombia,COL,Summer,2008,Beijing,Wrestling,"Wrestling Women'S Lightweight, Freestyle",Bronze
Jackeline Rentera Castillo,Colombia,COL,Summer,2012,London,Wrestling,"Wrestling Women'S Lightweight, Freestyle",Bronze
George Russell Renwick,Great Britain,GBR,Summer,1924,Paris,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
"Robert Peter ""Robbie"" Renwick",Great Britain,GBR,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Silver
Roline Virginie Repelaer Van Driel,Netherlands,NED,Summer,2008,Beijing,Rowing,Rowing Women'S Coxed Eights,Silver
Roline Virginie Repelaer Van Driel,Netherlands,NED,Summer,2012,London,Rowing,Rowing Women'S Coxed Eights,Bronze
Attila Repka,Hungary,HUN,Summer,1992,Barcelona,Wrestling,"Wrestling Men'S Lightweight, Greco-Roman",Gold
Vladimir Georgiyevich Repyev,Soviet Union,URS,Summer,1980,Moskva,Handball,Handball Men'S Handball,Silver
Bla Rerrich,Hungary,HUN,Summer,1956,Melbourne,Fencing,"Fencing Men'S Epee, Team",Silver
"Stephen Karl ""Steve"" Rerych",United States,USA,Summer,1968,Mexico City,Swimming,Swimming Men'S 4 X 100 Metres Freestyle Relay,Gold
"Stephen Karl ""Steve"" Rerych",United States,USA,Summer,1968,Mexico City,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Gold
Stefan Mykhailovych Reshko,Soviet Union,URS,Summer,1976,Montreal,Football,Football Men'S Football,Bronze
Stuart Reside,Australia,AUS,Summer,2004,Athina,Rowing,Rowing Men'S Coxed Eights,Bronze
