Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Brbel Eckert-Wckel,East Germany,GDR,Summer,1980,Moskva,Athletics,Athletics Women'S 200 Metres,Gold
Brbel Eckert-Wckel,East Germany,GDR,Summer,1980,Moskva,Athletics,Athletics Women'S 4 X 100 Metres Relay,Gold
"Johannes ""Hans"" Eckstein",Germany,GER,Summer,1932,Los Angeles,Water Polo,Water Polo Men'S Water Polo,Silver
Rudolf Eckstein,Germany,GER,Summer,1936,Berlin,Rowing,Rowing Men'S Coxless Fours,Gold
Jan Stefan Edberg,Sweden,SWE,Summer,1988,Seoul,Tennis,Tennis Men'S Singles,Bronze
Jan Stefan Edberg,Sweden,SWE,Summer,1988,Seoul,Tennis,Tennis Men'S Doubles,Bronze
"Jessica Jane ""Jess"" Eddie",Great Britain,GBR,Summer,2016,Rio De Janeiro,Rowing,Rowing Women'S Coxed Eights,Silver
Peta Louise Edebone,Australia,AUS,Summer,1996,Atlanta,Softball,Softball Women'S Softball,Bronze
Peta Louise Edebone,Australia,AUS,Summer,2000,Sydney,Softball,Softball Women'S Softball,Bronze
Peta Louise Edebone,Australia,AUS,Summer,2004,Athina,Softball,Softball Women'S Softball,Silver
Der Francis Carbonera,Brazil,BRA,Summer,2016,Rio De Janeiro,Volleyball,Volleyball Men'S Volleyball,Gold
"Gertrude Caroline ""Trudy"" Ederle",United States,USA,Summer,1924,Paris,Swimming,Swimming Women'S 100 Metres Freestyle,Bronze
"Gertrude Caroline ""Trudy"" Ederle",United States,USA,Summer,1924,Paris,Swimming,Swimming Women'S 400 Metres Freestyle,Bronze
"Gertrude Caroline ""Trudy"" Ederle",United States,USA,Summer,1924,Paris,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Gold
"David Holmes ""Dave"" Edgar",United States,USA,Summer,1972,Munich,Swimming,Swimming Men'S 4 X 100 Metres Freestyle Relay,Gold
Ross Samuel Edgar,Great Britain,GBR,Summer,2008,Beijing,Cycling,Cycling Men'S Keirin,Silver
Rolf Erik Sren Edling,Sweden,SWE,Summer,1976,Montreal,Fencing,"Fencing Men'S Epee, Team",Gold
Johan Viktor Edman,Sweden,SWE,Summer,1912,Stockholm,Tug-Of-War,Tug-Of-War Men'S Tug-Of-War,Gold
Jonas Inge Rikard Edman,Sweden,SWE,Summer,2000,Sydney,Shooting,"Shooting Men'S Small-Bore Rifle, Prone, 50 Metres",Gold
Edmar Bernardes Dos Santos,Brazil,BRA,Summer,1988,Seoul,Football,Football Men'S Football,Silver
"Alexander ""Alex"" Edmondson",Australia,AUS,Summer,2016,Rio De Janeiro,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Silver
Annette Edmondson,Australia,AUS,Summer,2012,London,Cycling,Cycling Women'S Omnium,Bronze
Ian Edmunds,Australia,AUS,Summer,1984,Los Angeles,Rowing,Rowing Men'S Coxed Eights,Bronze
"Edson ""Edson Bispo"" Bispo Dos Santos",Brazil,BRA,Summer,1960,Roma,Basketball,Basketball Men'S Basketball,Bronze
"Edson ""Edson Bispo"" Bispo Dos Santos",Brazil,BRA,Summer,1964,Tokyo,Basketball,Basketball Men'S Basketball,Bronze
Vincent Franz Harry Edward,Great Britain,GBR,Summer,1920,Antwerpen,Athletics,Athletics Men'S 100 Metres,Bronze
Vincent Franz Harry Edward,Great Britain,GBR,Summer,1920,Antwerpen,Athletics,Athletics Men'S 200 Metres,Bronze
Anthony John Edwards,Australia,AUS,Summer,1996,Atlanta,Rowing,Rowing Men'S Lightweight Double Sculls,Bronze
Anthony John Edwards,Australia,AUS,Summer,2000,Sydney,Rowing,Rowing Men'S Lightweight Coxless Fours,Silver
Anthony John Edwards,Australia,AUS,Summer,2004,Athina,Rowing,Rowing Men'S Lightweight Coxless Fours,Silver
Hugh Robert Arthur Edwards,Great Britain,GBR,Summer,1932,Los Angeles,Rowing,Rowing Men'S Coxless Pairs,Gold
Hugh Robert Arthur Edwards,Great Britain,GBR,Summer,1932,Los Angeles,Rowing,Rowing Men'S Coxless Fours,Gold
Jonathan David Edwards,Great Britain,GBR,Summer,1996,Atlanta,Athletics,Athletics Men'S Triple Jump,Silver
Jonathan David Edwards,Great Britain,GBR,Summer,2000,Sydney,Athletics,Athletics Men'S Triple Jump,Gold
"Kenneth Paine ""Ken"" Edwards",Western Golf Association,USA,Summer,1904,St. Louis,Golf,Golf Men'S Team,Gold
Margaret Edwards (-Wilding),Great Britain,GBR,Summer,1956,Melbourne,Swimming,Swimming Women'S 100 Metres Backstroke,Bronze
Norman Edwards,Jamaica,JAM,Summer,1984,Los Angeles,Athletics,Athletics Men'S 4 X 100 Metres Relay,Silver
"Philip Aron ""Phil"" Edwards",Canada,CAN,Summer,1928,Amsterdam,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
"Philip Aron ""Phil"" Edwards",Canada,CAN,Summer,1932,Los Angeles,Athletics,Athletics Men'S 800 Metres,Bronze
"Philip Aron ""Phil"" Edwards",Canada,CAN,Summer,1932,Los Angeles,Athletics,"Athletics Men'S 1,500 Metres",Bronze
"Philip Aron ""Phil"" Edwards",Canada,CAN,Summer,1932,Los Angeles,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
"Philip Aron ""Phil"" Edwards",Canada,CAN,Summer,1936,Berlin,Athletics,Athletics Men'S 800 Metres,Bronze
Teresa Edwards,United States,USA,Summer,1984,Los Angeles,Basketball,Basketball Women'S Basketball,Gold
Teresa Edwards,United States,USA,Summer,1988,Seoul,Basketball,Basketball Women'S Basketball,Gold
