Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
"Iris Vera Tanner (-Murrell, -Curran)",Great Britain,GBR,Summer,1924,Paris,Swimming,4x100m freestyle relay,Silver,Women
"Iris Vera Tanner (-Murrell, -Curran)",Great Britain,GBR,Summer,1928,Amsterdam,Swimming,4x100m freestyle relay,Silver,Women
Sheila Christine Taormina,United States,USA,Summer,1996,Atlanta,Swimming,4x200m freestyle relay,Gold,Women
Ashley Tara Tappin (-Doussan),United States,USA,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Gold,Women
Ashley Tara Tappin (-Doussan),United States,USA,Summer,2000,Sydney,Swimming,4x100m freestyle relay,Gold,Women
Ashley Tara Tappin (-Doussan),United States,USA,Summer,2000,Sydney,Swimming,4x100m medley relay,Gold,Women
"Matthew Stephen C. ""Matt"" Targett",Australia,AUS,Summer,2008,Beijing,Swimming,4x100m freestyle relay,Bronze,Men
"Matthew Stephen C. ""Matt"" Targett",Australia,AUS,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Men
"Matthew Stephen C. ""Matt"" Targett",Australia,AUS,Summer,2012,London,Swimming,4x100m medley relay,Bronze,Men
Jean Charles mile Taris,France,FRA,Summer,1932,Los Angeles,Swimming,400m freestyle,Silver,Men
Ren Pierre Charles Tartara,Pupilles de Neptune de Lille,FRA,Summer,1900,Paris,Swimming,200m team,Bronze,Men
Davis Edward Tarwater,United States,USA,Summer,2012,London,Swimming,4x200m freestyle relay,Gold,Men
Ryo Tateishi,Japan,JPN,Summer,2012,London,Swimming,200m breaststroke,Bronze,Men
Ulrike Tauber (-Lebek),East Germany,GDR,Summer,1976,Montreal,Swimming,200m butterfly,Silver,Women
Ulrike Tauber (-Lebek),East Germany,GDR,Summer,1976,Montreal,Swimming,400m individual medley,Gold,Women
Veniamin Igorevich Tayanovich,Unified Team,EUN,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Silver,Men
