Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Christine Mboma,NAM,2020,Summer,Tokyo,Athletics,"200 metres, Women",Silver,Namibia
Gabby Thomas,USA,2020,Summer,Tokyo,Athletics,"200 metres, Women",Bronze,United States
Shaunae Miller-Uibo,BAH,2020,Summer,Tokyo,Athletics,"400 metres, Women",Gold,Bahamas
Marileidy Paulino,DOM,2020,Summer,Tokyo,Athletics,"400 metres, Women",Silver,Dominican Republic
Allyson Felix,USA,2020,Summer,Tokyo,Athletics,"400 metres, Women",Bronze,United States
Athing Mu,USA,2020,Summer,Tokyo,Athletics,"800 metres, Women",Gold,United States
Keely Hodgkinson,GBR,2020,Summer,Tokyo,Athletics,"800 metres, Women",Silver,UK
Raevyn Rogers,USA,2020,Summer,Tokyo,Athletics,"800 metres, Women",Bronze,United States
Faith Kipyegon,KEN,2020,Summer,Tokyo,Athletics,"1,500 metres, Women",Gold,Kenya
Laura Muir,GBR,2020,Summer,Tokyo,Athletics,"1,500 metres, Women",Silver,UK
Sifan Hassan,NED,2020,Summer,Tokyo,Athletics,"1,500 metres, Women",Bronze,Netherlands
Sifan Hassan,NED,2020,Summer,Tokyo,Athletics,"5,000 metres, Women",Gold,Netherlands
Hellen Obiri,KEN,2020,Summer,Tokyo,Athletics,"5,000 metres, Women",Silver,Kenya
Gudaf Tsegay,ETH,2020,Summer,Tokyo,Athletics,"5,000 metres, Women",Bronze,Ethiopia
Sifan Hassan,NED,2020,Summer,Tokyo,Athletics,"10,000 metres, Women",Gold,Netherlands
Kalkidan Gezahegne,BRN,2020,Summer,Tokyo,Athletics,"10,000 metres, Women",Silver,Bahrain
Letesenbet Gidey,ETH,2020,Summer,Tokyo,Athletics,"10,000 metres, Women",Bronze,Ethiopia
Peres Jepchirchir,KEN,2020,Summer,Tokyo,Athletics,"Marathon, Women",Gold,Kenya
Brigid Kosgei,KEN,2020,Summer,Tokyo,Athletics,"Marathon, Women",Silver,Kenya
Molly Seidel,USA,2020,Summer,Tokyo,Athletics,"Marathon, Women",Bronze,United States
Jasmine Camacho-Quinn,PUR,2020,Summer,Tokyo,Athletics,"100 metres Hurdles, Women",Gold,Puerto Rico
Keni Harrison,USA,2020,Summer,Tokyo,Athletics,"100 metres Hurdles, Women",Silver,United States
Megan Tapper,JAM,2020,Summer,Tokyo,Athletics,"100 metres Hurdles, Women",Bronze,Jamaica
Sydney McLaughlin,USA,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Women",Gold,United States
Dalilah Muhammad,USA,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Women",Silver,United States
Femke Bol,NED,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Women",Bronze,Netherlands
Peruth Chemutai,UGA,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Women",Gold,Uganda
Courtney Frerichs,USA,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Women",Silver,United States
Hyvin Kiyeng,KEN,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Women",Bronze,Kenya
,JAM,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Women",Gold,Jamaica
,USA,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Women",Silver,United States
,GBR,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Women",Bronze,UK
,USA,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Women",Gold,United States
,POL,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Women",Silver,Poland
,JAM,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Women",Bronze,Jamaica
Antonella Palmisano,ITA,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Women",Gold,Italy
Sandra Arenas,COL,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Women",Silver,Colombia
Liu Hong,CHN,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Women",Bronze,China
Mariya Lasitskene,ROC,2020,Summer,Tokyo,Athletics,"High Jump, Women",Gold,Russia
Nicola McDermott,AUS,2020,Summer,Tokyo,Athletics,"High Jump, Women",Silver,Australia
Yaroslava Mahuchikh,UKR,2020,Summer,Tokyo,Athletics,"High Jump, Women",Bronze,Ukraine
Katie Nageotte,USA,2020,Summer,Tokyo,Athletics,"Pole Vault, Women",Gold,United States
Anzhelika Sidorova,ROC,2020,Summer,Tokyo,Athletics,"Pole Vault, Women",Silver,Russia
Holly Bradshaw,GBR,2020,Summer,Tokyo,Athletics,"Pole Vault, Women",Bronze,UK
Malaika Mihambo,GER,2020,Summer,Tokyo,Athletics,"Long Jump, Women",Gold,Germany
Brittney Reese,USA,2020,Summer,Tokyo,Athletics,"Long Jump, Women",Silver,United States
Ese Brume,NGR,2020,Summer,Tokyo,Athletics,"Long Jump, Women",Bronze,Nigeria
Yulimar Rojas,VEN,2020,Summer,Tokyo,Athletics,"Triple Jump, Women",Gold,Venezuela
Patrícia Mamona,POR,2020,Summer,Tokyo,Athletics,"Triple Jump, Women",Silver,Portugal
Ana Peleteiro,ESP,2020,Summer,Tokyo,Athletics,"Triple Jump, Women",Bronze,Spain
Gong Lijiao,CHN,2020,Summer,Tokyo,Athletics,"Shot Put, Women",Gold,China
Raven Saunders,USA,2020,Summer,Tokyo,Athletics,"Shot Put, Women",Silver,United States
Valerie Adams,NZL,2020,Summer,Tokyo,Athletics,"Shot Put, Women",Bronze,New Zealand
Valarie Allman,USA,2020,Summer,Tokyo,Athletics,"Discus Throw, Women",Gold,United States
Kristin Pudenz,GER,2020,Summer,Tokyo,Athletics,"Discus Throw, Women",Silver,Germany
Yaimé Pérez,CUB,2020,Summer,Tokyo,Athletics,"Discus Throw, Women",Bronze,Cuba
Anita Włodarczyk,POL,2020,Summer,Tokyo,Athletics,"Hammer Throw, Women",Gold,Poland
Wang Zheng,CHN,2020,Summer,Tokyo,Athletics,"Hammer Throw, Women",Silver,China
Malwina Kopron,POL,2020,Summer,Tokyo,Athletics,"Hammer Throw, Women",Bronze,Poland
Liu Shiying,CHN,2020,Summer,Tokyo,Athletics,"Javelin Throw, Women",Gold,China
Maria Andrejczyk,POL,2020,Summer,Tokyo,Athletics,"Javelin Throw, Women",Silver,Poland
Kelsey-Lee Barber,AUS,2020,Summer,Tokyo,Athletics,"Javelin Throw, Women",Bronze,Australia
Nafi Thiam,BEL,2020,Summer,Tokyo,Athletics,"Heptathlon, Women",Gold,Belgium
Anouk Vetter,NED,2020,Summer,Tokyo,Athletics,"Heptathlon, Women",Silver,Netherlands
Emma Oosterwegel,NED,2020,Summer,Tokyo,Athletics,"Heptathlon, Women",Bronze,Netherlands
,POL,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Mixed",Gold,Poland
,DOM,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Mixed",Silver,Dominican Republic
,USA,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Mixed",Bronze,United States
Viktor Axelsen,DEN,2020,Summer,Tokyo,Badminton,"Singles, Men",Gold,Denmark
Chen Long,CHN,2020,Summer,Tokyo,Badminton,"Singles, Men",Silver,China
Anthony Sinisuka Ginting,INA,2020,Summer,Tokyo,Badminton,"Singles, Men",Bronze,Indonesia
,TPE,2020,Summer,Tokyo,Badminton,"Doubles, Men",Gold,Taiwan
